Classe,guerreiro
força,destreza,vigor,inteligencia,percepção,raciocinio
11,4,11,18,17,17
6,1,2,11,17,16
8,2,2,13,20,14
9,6,9,12,13,18
6,6,8,19,11,15
10,3,4,15,19,12
8,5,11,13,17,14
8,9,5,11,13,11
4,8,5,13,13,14
2,11,5,16,17,14
9,9,12,13,17,16
10,1,1,18,17,12
9,1,7,16,15,17
12,3,4,17,20,18
3,11,3,19,17,12
7,10,10,15,19,20
11,12,10,18,12,16
7,1,8,16,16,16
4,11,7,17,14,17
8,2,10,12,16,19
11,3,12,16,20,19
2,1,7,18,17,16
11,3,5,16,14,17
2,5,7,14,18,20
11,11,12,11,19,17
9,11,11,17,14,11
5,11,7,20,14,20
12,5,8,12,19,18
11,4,2,11,12,20
Classe,ladino
força,destreza,vigor,inteligencia,percepção,raciocinio
4,11,6,3,11,11
8,20,11,11,17,15
4,15,8,3,18,15
2,20,2,10,17,17
6,17,8,6,18,11
2,20,9,6,18,12
1,16,2,11,11,16
8,18,5,2,11,17
13,12,4,11,17,12
3,13,6,9,14,17
6,17,10,9,12,18
9,19,12,7,14,16
2,19,4,6,12,14
8,16,7,10,20,17
1,13,11,12,20,18
7,17,6,12,12,19
11,14,10,9,17,11
8,15,12,1,14,13
7,16,10,4,18,11
3,16,10,7,13,13
5,20,6,8,15,14
11,15,3,7,19,15
2,12,11,12,13,17
13,17,1,5,12,18
1,13,1,9,11,20
3,14,9,10,20,11
8,14,3,9,16,19
12,13,10,8,19,13
7,16,11,10,19,18
12,14,12,3,13,17
4,14,6,12,19,15
1,12,12,6,15,14
1,20,12,12,11,16
1,17,5,10,17,16
7,15,2,6,19,14
2,12,2,9,11,17
9,12,13,1,14,20
12,13,5,11,13,12
9,15,13,13,14,12
2,12,2,11,14,18
7,15,12,12,15,13
6,14,6,6,12,15
2,15,2,9,14,13
12,14,4,6,16,16
13,14,13,12,18,19
8,13,6,11,20,20
9,12,2,13,16,20
4,17,13,8,13,16
2,14,4,1,18,14
2,20,10,12,16,12
10,20,4,13,15,13
7,13,7,2,11,18
6,12,5,10,14,18
1,13,3,8,14,15
1,11,2,8,17,17
13,13,5,3,15,19
4,11,4,4,19,12
12,19,5,9,18,12
10,14,13,13,17,20
9,11,12,13,11,20
10,18,6,2,17,15
4,15,6,11,14,16
10,15,1,9,16,12
2,11,1,5,17,16
8,14,3,8,11,20
8,19,9,10,14,17
5,20,9,7,17,18
3,15,1,2,11,20
5,11,6,5,13,18
11,16,9,7,19,14
8,15,7,9,17,11
8,15,2,2,13,12
5,20,5,11,11,11
7,13,4,10,20,15
3,20,3,5,14,17
1,19,1,1,15,11
12,20,12,4,15,16
9,13,9,9,12,14
6,19,6,2,20,17
6,16,3,4,14,16
6,11,9,12,12,11
5,13,13,11,11,17
10,16,8,10,20,20
1,17,5,11,12,15
6,18,8,3,12,14
8,15,7,6,12,18
1,18,1,13,15,20
4,20,8,3,13,16
10,20,9,4,13,19
2,11,9,3,17,19
11,11,3,11,18,19
8,13,4,8,11,14
11,17,13,12,14,12
10,20,12,9,13,18
4,13,13,6,19,17
Classe,campones
força,destreza,vigor,inteligencia,percepção,raciocinio
9,8,2,1,5,2
9,5,9,10,8,6
6,2,8,10,2,10
8,8,2,5,4,3
2,7,9,2,7,3
1,5,5,3,10,2
10,6,1,10,7,1
7,7,2,1,6,10
9,1,9,6,3,7
6,7,3,8,6,2
10,3,7,2,7,5
7,1,8,10,10,10
6,4,2,5,7,5
1,2,4,2,4,3
9,7,10,7,9,6
1,2,10,1,7,2
3,8,1,6,2,1
9,3,5,3,8,8
8,2,10,5,7,7
2,10,4,3,4,5
3,7,5,9,7,3
8,10,2,3,10,1
6,2,4,2,1,10
2,10,3,2,5,2
10,8,6,3,4,8
5,4,5,2,3,3
2,5,2,9,8,1
1,1,6,7,6,3
6,7,8,4,2,10
9,2,7,1,3,10
3,10,6,10,6,5
5,4,3,3,2,5
5,5,8,4,6,2
2,4,9,6,6,10
3,6,4,1,5,7
2,5,6,9,7,4
2,1,6,8,2,7
1,9,8,7,2,2
7,4,7,6,8,2
9,10,8,8,9,6
1,10,8,4,8,7
9,5,7,2,10,2
10,2,7,1,4,10
4,1,7,7,2,2
2,5,9,7,5,9
7,8,1,9,8,6
5,7,9,2,4,2
8,2,8,6,9,8
9,10,3,10,3,4
7,3,9,1,4,4
2,10,3,2,7,5
6,1,7,2,9,2
9,4,10,5,3,5
4,6,5,10,5,3
6,3,5,6,8,2
1,9,10,4,8,2
3,10,8,10,10,8
4,4,4,4,7,5
6,1,7,1,4,4
10,3,5,4,8,6
6,9,7,4,5,5
1,4,8,6,5,4
9,4,10,3,8,6
6,6,6,4,2,10
9,10,2,3,5,4
10,3,3,8,10,9
7,5,7,4,1,8
1,7,6,9,4,4
9,3,7,2,4,1
8,8,10,4,1,7
2,8,5,1,6,9
10,2,10,10,9,5
8,4,2,9,8,7
2,9,7,6,5,7
1,9,7,4,2,2
9,4,7,3,1,8
6,4,2,9,9,10
7,6,6,8,6,7
1,8,7,5,5,6
1,2,8,3,9,9
6,10,8,8,10,10
9,9,10,3,9,10
10,7,2,10,8,4
10,9,2,1,6,1
5,7,4,10,5,3
3,6,1,6,9,3
6,8,1,10,7,8
5,8,4,1,3,4
3,4,5,9,2,8
5,9,9,2,3,5
6,6,3,1,1,6
8,10,8,4,4,6
7,2,8,3,5,3
6,8,7,10,5,8
7,7,1,3,8,9
Classe,ninja
força,destreza,vigor,inteligencia,percepção,raciocinio
10,13,14,8,19,8
7,18,19,8,16,5
7,18,17,1,17,9
3,17,18,1,20,5
3,18,16,5,13,2
3,13,14,8,19,3
1,14,19,6,13,8
4,15,20,2,17,3
8,20,16,5,16,3
10,17,14,1,16,8
5,20,13,9,20,5
6,20,17,1,20,7
10,17,16,5,17,10
6,15,17,3,13,9
6,13,18,10,14,3
5,15,15,3,18,4
10,20,14,8,13,8
8,18,14,7,17,2
7,15,16,6,16,5
8,14,14,1,13,4
1,14,19,8,15,1
9,20,14,7,19,2
2,19,14,9,18,4
4,17,15,1,16,1
3,15,16,2,14,7
4,17,15,7,20,1
4,19,16,3,19,10
2,17,19,2,19,10
6,15,18,7,14,4
9,20,15,2,16,7
10,15,13,5,17,8
3,13,20,1,13,3
1,17,18,3,15,2
7,20,16,6,17,6
9,13,18,7,15,4
10,17,20,2,19,1
1,19,18,1,18,10
6,19,14,2,19,9
1,16,17,9,15,7
2,14,18,6,13,9
3,16,18,9,14,4
5,17,17,4,14,3
9,18,15,6,16,8
7,17,15,10,13,3
10,15,19,6,20,1
6,14,16,3,17,5
5,15,14,9,13,8
5,15,15,8,18,3
1,20,16,9,19,7
6,19,15,8,16,3
8,20,16,8,19,5
3,15,14,10,15,5
8,16,16,9,16,7
1,15,18,1,16,5
2,13,17,8,15,8
6,20,16,4,19,7
5,13,19,9,15,8
5,17,20,6,19,10
6,20,17,2,13,8
2,20,16,10,16,1
3,18,17,3,14,4
7,16,19,5,20,4
3,19,17,4,18,3
7,14,14,3,14,9
7,20,13,3,17,2
10,18,19,8,20,5
9,17,20,10,19,9
3,14,13,5,16,1
3,13,17,1,17,7
4,16,20,7,20,4
9,16,20,8,18,2
3,18,18,4,18,8
2,14,17,8,18,1
1,17,20,3,17,7
10,16,17,9,16,7
2,13,18,6,14,2
8,19,14,3,16,2
5,19,14,1,13,1
8,13,17,2,14,7
7,20,13,2,15,1
7,17,18,5,13,4
9,13,16,9,14,1
1,16,13,5,20,10
7,15,16,9,17,6
2,15,14,9,17,8
3,15,18,7,15,1
8,13,17,5,15,9
8,16,13,2,18,10
5,18,15,2,14,10
4,18,18,3,18,9
7,13,14,3,13,6
1,13,13,8,19,9
6,14,13,9,18,1
9,13,16,4,20,2
1,19,15,6,17,4
